
student_id,hours_studied,attendance,prev_marks,final_marks
1,44,77,61,45
2,96,85,66,70
3,76,93,74,60
4,,69,40,44
5,24,95,74,51
6,24,73,76,47
7,15,90,86,45
8,88,,53,60
9,64,67,42,50
10,74,73,40,48
11,24,73,76,47
12,97,99,65,65
13,85,80,,77
14,29,75,53,36
15,26,77,78,43
16,27,83,66,
17,37,85,48,33
18,57,84,54,54
19,49,100,54,43
20,36,88,65,44
21,65,74,81,68
22,23,60,99,51
23,,84,52,37
24,43,66,90,61
25,51,68,71,52
26,49,100,54,43
27,28,60,88,61
28,56,67,91,73
29,63,83,100,73
30,14,70,71,41
31,65,76,43,54
32,25,67,69,37
33,16,94,76,46
34,95,,62,79
35,97,92,78,88
36,83,64,84,65
37,37,98,54,38
38,19,100,82,49
39,72,87,68,56
40,50,66,75,54
41,21,68,,34
42,55,67,71,64
43,65,76,43,54
44,92,93,98,87
45,33,92,90,61
46,70,82,61,61
47,38,83,67,49
48,57,96,41,
49,59,94,81,68
50,,99,84,55
